"ZCTA","STATE","COUNTY","NAME","LSAD","new_constructions","existing_constructions","total_single_family_households_since_2000","total_single_family_households","new_existing_constructions_ratio","share_single_family_new_constructions","area_type","brks","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","AFFGEOID10","GEOID10","ALAND10","AWATER10"
"20912",24,"031","Montgomery","County",272,9122,125,4019,0.03,0.46,"Suburban","0.83",491.254,7053714.0166749,6437356.80953336,0.912619478804432,"8600000US20912","20912",6920232,14036
"22003",51,"059","Fairfax","County",688,18464,475,13281,0.04,0.69,"Suburban","0.83",390.969,32390098.9337116,32390098.9337116,1,"8600000US22003","22003",32241099,136799
"22015",51,"059","Fairfax","County",301,14495,284,13592,0.02,0.94,"Suburban","1",390.969,21969364.5331241,21969364.5331241,1,"8600000US22015","22015",21701627,231461
"22027",51,"059","Fairfax","County",172,509,172,681,0.34,1,"Suburban","1",390.969,1656941.51776338,1656941.51776338,1,"8600000US22027","22027",1678018,200
"22030",51,"059","Fairfax","County",5947,13295,3028,12474,0.45,0.51,"Suburban","0.83",390.969,49108581.3197197,36931977.2419747,0.752047325528107,"8600000US22030","22030",48887496,243348
"22031",51,"059","Fairfax","County",2395,9550,888,6533,0.25,0.37,"Suburban","0.83",390.969,17814974.8609017,14558218.2713385,0.817189941889236,"8600000US22031","22031",17676040,134967
"22032",51,"059","Fairfax","County",533,9176,401,9394,0.06,0.75,"Suburban","0.83",390.969,19413074.8728606,18592422.3361789,0.957726813394774,"8600000US22032","22032",19180220,236783
"22033",51,"059","Fairfax","County",2881,12319,1708,9123,0.23,0.59,"Suburban","0.83",390.969,19764432.7112355,19764432.7112355,1,"8600000US22033","22033",19607751,203662
"22035",51,"059","Fairfax","County",0,0,0,0,-1,-1,"Suburban","-1",390.969,449044.669057369,449044.669057369,1,"8600000US22035","22035",448650,11929
"22039",51,"059","Fairfax","County",406,5464,399,5863,0.07,0.98,"Suburban","1",390.969,63472717.401392,63408245.6768717,0.998984260842142,"8600000US22039","22039",61194728,2250722
"22041",51,"059","Fairfax","County",509,10110,415,2814,0.05,0.82,"Suburban","0.83",390.969,7576707.46040642,7572998.40212965,0.999510465687615,"8600000US22041","22041",7226964,348991
