FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Owner occupied,Renter occupied
ACSSF,2009e5,wv,000,0096,0000197,060,54,061,06000US5406190456,"Central district, Monongalia County, West Virginia",10275,4751,5524
ACSSF,2009e5,wv,000,0096,0000198,060,54,061,06000US5406190983,"Eastern district, Monongalia County, West Virginia",12098,7604,4494
ACSSF,2009e5,wv,000,0096,0000199,060,54,061,06000US5406193612,"Western district, Monongalia County, West Virginia",9288,6965,2323
ACSSF,2009e5,wv,000,0096,0000200,060,54,063,06000US5406390457,"Central district, Monroe County, West Virginia",2048,1686,362
ACSSF,2009e5,wv,000,0096,0000201,060,54,063,06000US5406390984,"Eastern district, Monroe County, West Virginia",1529,1348,181
ACSSF,2009e5,wv,000,0096,0000202,060,54,063,06000US5406393613,"Western district, Monroe County, West Virginia",1957,1706,251
ACSSF,2009e5,wv,000,0096,0000203,060,54,065,06000US5406590786,"District 1, Morgan County, West Virginia",1957,1560,397
ACSSF,2009e5,wv,000,0096,0000204,060,54,065,06000US5406590822,"District 2, Morgan County, West Virginia",2549,1892,657
ACSSF,2009e5,wv,000,0096,0000205,060,54,065,06000US5406590858,"District 3, Morgan County, West Virginia",2351,1859,492
ACSSF,2009e5,wv,000,0096,0000206,060,54,067,06000US5406790132,"Beaver district, Nicholas County, West Virginia",3077,2429,648
ACSSF,2009e5,wv,000,0096,0000207,060,54,067,06000US5406791344,"Grant district, Nicholas County, West Virginia",512,451,61
ACSSF,2009e5,wv,000,0096,0000208,060,54,067,06000US5406791500,"Hamilton district, Nicholas County, West Virginia",1168,1022,146
ACSSF,2009e5,wv,000,0096,0000209,060,54,067,06000US5406791716,"Jefferson district, Nicholas County, West Virginia",575,520,55
ACSSF,2009e5,wv,000,0096,0000210,060,54,067,06000US5406791752,"Kentucky district, Nicholas County, West Virginia",1622,1454,168
ACSSF,2009e5,wv,000,0096,0000211,060,54,067,06000US5406793072,"Summersville district, Nicholas County, West Virginia",2144,1529,615
ACSSF,2009e5,wv,000,0096,0000212,060,54,067,06000US5406793660,"Wilderness district, Nicholas County, West Virginia",1149,1050,99
ACSSF,2009e5,wv,000,0096,0000213,060,54,069,06000US5406990788,"District 1, Ohio County, West Virginia",6434,5163,1271
ACSSF,2009e5,wv,000,0096,0000214,060,54,069,06000US5406990824,"District 2, Ohio County, West Virginia",6207,3590,2617
