"GEO_ID","STATE","COUNTY","NAME","LSAD","CENSUSAREA","ZCTA5CE10","AFFGEOID10","GEOID10","ALAND10","AWATER10","zcta_area","intersected_area","percent_intersected_area"
"0500000US24031","24","031","Montgomery","County",491.254,"20837","8600000US20837","20837",110285314,7937370,118529174.142161,118529159.757129,0.999999878637209
"0500000US24031","24","031","Montgomery","County",491.254,"20841","8600000US20841","20841",67306695,2337391,69665244.3397392,69665244.3397392,1
"0500000US24031","24","031","Montgomery","County",491.254,"20842","8600000US20842","20842",138659219,6271342,144607550.59178,105801260.974352,0.731644098398597
"0500000US24031","24","031","Montgomery","County",491.254,"20851","8600000US20851","20851",6127195,2088,6086656.01204753,6086656.01204753,1
"0500000US24031","24","031","Montgomery","County",491.254,"20879","8600000US20879","20879",19864991,103632,19980480.4733353,19980480.4733353,1
"0500000US24031","24","031","Montgomery","County",491.254,"20901","8600000US20901","20901",13943441,70055,13975368.8919318,13975368.8919318,1
"0500000US24031","24","031","Montgomery","County",491.254,"20903","8600000US20903","20903",9329135,4751,9296222.28545283,8118113.43924952,0.873270151032546
"0500000US24031","24","031","Montgomery","County",491.254,"20853","8600000US20853","20853",23423902,243714,23738254.9754788,23738254.9754788,1
"0500000US24031","24","031","Montgomery","County",491.254,"20855","8600000US20855","20855",34005810,573759,34561750.559922,34561750.559922,1
"0500000US24031","24","031","Montgomery","County",491.254,"20866","8600000US20866","20866",18308467,618521,18970552.5146832,18899859.6399067,0.996273546871039
"0500000US24031","24","031","Montgomery","County",491.254,"20871","8600000US20871","20871",53184241,138208,53356061.8744137,50702602.3670011,0.950268827679632
"0500000US24031","24","031","Montgomery","County",491.254,"20872","8600000US20872","20872",53903254,114209,54048798.5347459,54045586.4677105,0.999940570981732
"0500000US24031","24","031","Montgomery","County",491.254,"20904","8600000US20904","20904",35467249,98898,35606543.8364277,35276315.7464612,0.990725634830396
"0500000US24031","24","031","Montgomery","County",491.254,"20905","8600000US20905","20905",33278713,554978,33858458.7584363,33835165.5211227,0.999312040826199
"0500000US24021","24","021","Frederick","County",660.221,"21769","8600000US21769","21769",105648380,746770,106383602.601276,105759353.802104,0.994132095699822
"0500000US24021","24","021","Frederick","County",660.221,"21770","8600000US21770","21770",28591809,26656,28622554.357173,28500213.588263,0.995725721492803
