estimate_year,index,TX_015,TX_039,TX_071,TX_157,TX_167,TX_201,TX_291,TX_339,TX_473
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2013-2017,B03002_13_white_alone,5089,85871,7609,127383,64533,1477712,12026,99340,10453
2013-2017,B03002_14_black_or_african_american_alone,22,1037,0,2753,967,18837,7,946,200
2013-2017,B03002_15_american_indian_and_alaska_native_alone,0,871,0,715,627,11387,40,979,129
2013-2017,B03002_16_asian_alone,0,122,0,860,247,2291,0,128,58
2013-2017,B03002_17_native_hawaiian_and_other_pacific_islander_alone,0,14,0,44,13,548,12,0,0
2013-2017,B03002_18_some_other_race_alone,2175,12603,755,34375,7311,359168,5168,17453,2921
2013-2017,B03002_19_two_or_more_races,312,2197,32,5819,3108,40592,235,4088,469
2013-2017,B03002_20_two_races_including_some_other_race,227,716,11,2948,923,20764,227,1132,264
2013-2017,"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",85,1481,21,2871,2185,19828,8,2956,205
2013-2017,B11005_1_total,11021,117088,13320,222331,117455,1562813,25974,186861,14698
2013-2017,B11005_2_households_with_one_or_more_people_under_18_years,3694,48617,5626,104009,41540,600527,9538,73338,5218
2013-2017,B11005_3_family_households,3694,48351,5621,103575,41173,596012,9466,72940,5182
2013-2017,B11005_4_married-couple_family,2762,35740,4515,80578,27862,380414,6602,54339,3510
2013-2017,B11005_5_other_family,932,12611,1106,22997,13311,215598,2864,18601,1672
2013-2017,"B11005_6_male_householder,_no_wife_present",222,3427,395,5315,3056,49160,658,5182,372
2013-2017,"B11005_7_female_householder,_no_husband_present",710,9184,711,17682,10255,166438,2206,13419,1300
2013-2017,B11005_8_nonfamily_households,0,266,5,434,367,4515,72,398,36
2013-2017,B11005_9_male_householder,0,189,5,219,336,3406,26,224,29
2013-2017,B11005_10_female_householder,0,77,0,215,31,1109,46,174,7
2013-2017,B11005_11_households_with_no_people_under_18_years,7327,68471,7694,118322,75915,962286,16436,113523,9480
2013-2017,B11005_12_family_households,4437,39225,4811,78968,40693,470637,9436,66525,5573
2013-2017,B11005_13_married-couple_family,3913,32771,4234,65676,33141,353694,8019,57803,4421
2013-2017,B11005_14_other_family,524,6454,577,13292,7552,116943,1417,8722,1152
2013-2017,"B11005_15_male_householder,_no_wife_present",141,2560,171,3735,1881,40159,519,2761,567
2013-2017,"B11005_16_female_householder,_no_husband_present",383,3894,406,9557,5671,76784,898,5961,585
2013-2017,B11005_17_nonfamily_households,2890,29246,2883,39354,35222,491649,7000,46998,3907
2013-2017,B11005_18_male_householder,1266,13836,1708,17967,17536,253094,3479,21616,2030
2013-2017,B11005_19_female_householder,1624,15410,1175,21387,17686,238555,3521,25382,1877
2013-2017,B11016_1_total,11021,117088,13320,222331,117455,1562813,25974,186861,14698
2013-2017,B11016_2_family_households,8131,87576,10432,182543,81866,1066649,18902,139465,10755
2013-2017,B11016_3_2-person_household,3698,31514,3975,58773,34360,376273,7852,56620,4476
2013-2017,B11016_4_3-person_household,1495,21868,1714,44235,19325,251403,3796,30001,2272
2013-2017,B11016_5_4-person_household,1432,19590,3101,44384,16305,227531,3663,30509,2114
2013-2017,B11016_6_5-person_household,857,8907,1190,21929,7158,127670,2209,14162,1082
2013-2017,B11016_7_6-person_household,507,3536,247,8159,3240,50496,736,5214,528
